--------- beginning of system
01-08 00:41:47.914   635   656 I DisplayManagerService: Display device added: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 720 x 1280, modeId 1, defaultModeId 1, supportedModes [{id=1, width=720, height=1280, fps=60.000004}], colorMode 0, supportedColorModes [0], HdrCapabilities android.view.Display$HdrCapabilities@a69d6308, density 320, 268.0 x 268.0 dpi, appVsyncOff 7500000, presDeadline 12666666, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
01-08 00:41:47.915   635   656 I DisplayManagerService: Display device changed state: "Built-in Screen", ON
01-08 00:41:47.915   635   635 I SystemServer: StartPackageManagerService
01-08 00:41:48.013   635   635 D SELinuxMMAC: Using policy file /system/etc/security/mac_permissions.xml
01-08 00:41:48.237   635   635 W PackageManager: Library not found: /system/framework/org.apache.http.legacy.jar
01-08 00:41:48.265   635   665 W PackageManager: Permission cyanogenmod.permission.WRITE_ALARMS from package cyanogenmod.platform in an unknown group android.permission-group.SYSTEM_CLOCK
01-08 00:41:48.265   635   665 W PackageManager: Permission cyanogenmod.permission.MANAGE_ALARMS from package cyanogenmod.platform in an unknown group android.permission-group.SYSTEM_CLOCK
01-08 00:41:48.265   635   665 W PackageManager: Permission cyanogenmod.permission.READ_ALARMS from package cyanogenmod.platform in an unknown group android.permission-group.SYSTEM_CLOCK
01-08 00:41:48.379   635   668 W PackageParser: No actions in intent filter at /system/priv-app/Contacts/Contacts.apk Binary XML file line #431
01-08 00:41:48.391   635   665 W PackageManager: Permission android.permission.DOWNLOAD_WITHOUT_NOTIFICATION from package com.android.providers.downloads in an unknown group android.permission-group.NETWORK
01-08 00:41:48.411   635   666 I PackageManager: /system/priv-app/FlipFlap changed; collecting certs
01-08 00:41:48.448   635   664 W PackageParser: No actions in intent filter at /system/priv-app/Dialer/Dialer.apk Binary XML file line #204
01-08 00:41:48.462   635   669 W PackageParser: Unknown element under <application>: permission at /system/priv-app/Gallery2/Gallery2.apk Binary XML file line #269
01-08 00:41:48.462   635   669 W PackageParser: Unknown element under <application>: permission at /system/priv-app/Gallery2/Gallery2.apk Binary XML file line #272
01-08 00:41:48.513   635   668 W PackageManager: Failed to parse /system/priv-app/Phonesky: Package com.android.vending at /system/priv-app/Phonesky ignored: updated version 80730700 better than this 80721300
01-08 00:41:48.521   635   665 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS in package: com.android.shell at: Binary XML file line #102
